QoE,EE,Rewards
0.25574441302614354,0.1,0.21070560678103362
0.23187402218394318,0.09000000000000001,0.2417749490701294
0.2966947337454582,0.078,0.2267582948197589
0.2635406888506098,0.084,0.2670294232468381
0.33552175298425185,0.084,0.21719635066445334
0.21651228505107287,0.09800000000000002,0.25182374248693074
0.30129624432949104,0.10400000000000001,0.2578941540008109
0.25106144651329865,0.1,0.11981895832424767
0.23016709480082603,0.09600000000000002,0.14399877757371882
0.17142857142857143,0.10400000000000002,0.12800000000000003
0.05169393305689608,0.098,0.09729660480886394
0.20337655908190902,0.1,0.12937572757155755
0.2067420748085523,0.098,0.10503010074003716
0.1442857142857143,0.10400000000000001,0.07658120000000002
0.1243790193278547,0.094,0.10791020901966553
0.12106144651329862,0.098,0.11976200837287272
0.09168145154074202,0.096,0.09064087591253679
0.1714049970593025,0.10600000000000001,0.1377159910053008
0.13059169980858226,0.082,0.11545467341438935
0.11364914852402445,0.08800000000000001,0.11952880915010207
0.11364914852402445,0.082,0.14321884483357034
0.1330120642778048,0.10200000000000001,0.13267955052521788
0.11917501110894138,0.10800000000000001,0.13887818647072028
0.18141935366225562,0.10600000000000001,0.156676436359319
0.12870919411029805,0.10200000000000002,0.12691865491423732
0.20024441064509757,0.10400000000000001,0.1777536693873274
0.17521385931446037,0.098,0.17954733201323417
0.04322841294789957,0.10000000000000002,0.07739720181852056
0.13541623597022834,0.08800000000000001,0.10407253711090672
0.12008932589579914,0.09200000000000001,0.10221672048239838
0.0,0.11000000000000003,0.12765396221477068
0.01822841294789957,0.092,0.11509177249283611
0.10547259861218068,0.096,0.15097416693207794
0.07190734728286297,0.08600000000000001,0.11472422819581247
0.0818506984453065,0.096,0.09225383474170543
0.024304550597199423,0.09600000000000002,0.12406296431223329
0.029222439722400587,0.08600000000000001,0.15280027355446463
0.3724137211614619,0.084,0.35277153328103317
0.17561697423463163,0.11600000000000002,0.29404616814576284
0.22343591494645706,0.08800000000000001,0.26300957553228843
0.08763093163446065,0.11800000000000004,0.21781374748070884
0.20755800038880962,0.10400000000000002,0.23988521737977217
0.26315171959957284,0.1,0.3237715520820135
0.2414915002498123,0.10400000000000002,0.31640108378456944
0.2717610471138559,0.1,0.3429644534876951
0.14844685806605273,0.096,0.23063276338370248
0.19000664859743982,0.08400000000000003,0.26423207169374413
0.09014855893647432,0.084,0.13383011904218906
0.20510592432736136,0.076,0.13564275466996564
0.13997289670876256,0.11600000000000002,0.11910036829667811
0.1317945344128253,0.09400000000000001,0.08116784742821206
0.2200045534952866,0.098,0.14186279017592207
0.18768295874194005,0.10000000000000002,0.12637658917181527
0.0125,0.10800000000000003,0.10136016417640273
0.17134164561355283,0.11000000000000001,0.11286678713177234
0.08652063614437644,0.10400000000000001,0.09283931567538428
0.19850017749211102,0.084,0.12400602988682327
0.03333333333333334,0.10000000000000002,0.06510905775971479
0.2885734524502829,0.12000000000000002,0.2576710092886762
0.2723715308756648,0.12800000000000003,0.2150938471056109
0.22290157268321098,0.09800000000000002,0.22290144681203575
0.3134347784275791,0.10200000000000001,0.2648949726627119
0.2127518227367831,0.09400000000000001,0.15457071809891104
0.25062913026816264,0.11400000000000003,0.2034187411949667
0.15011958736789338,0.12400000000000003,0.16490161870387807
0.32622257641392943,0.1,0.21760219417136967
0.2620811782187365,0.10800000000000001,0.1702154521460481
0.1960886301610838,0.09000000000000001,0.20660124000219676
0.09464153569583361,0.10400000000000002,0.11346984232099891
0.14536686791985806,0.12600000000000006,0.14793785893466568
0.1584543341429899,0.11000000000000003,0.16992260535056575
0.13415887582080466,0.09600000000000002,0.16930384083196967
0.20620879362389777,0.11600000000000003,0.22573044919707974
0.1546504583388283,0.10800000000000001,0.1569933956401432
0.23255368598074838,0.09200000000000001,0.18993740789454455
0.18926298051211193,0.12400000000000003,0.17839146834902891
0.13396893399276516,0.10400000000000002,0.16014211339378187
0.3314883907367696,0.10400000000000002,0.1812025980859659
0.0714523385646799,0.10200000000000002,0.09092749330651646
0.3053005077778687,0.09400000000000001,0.13301812230597368
0.1610174696551693,0.10400000000000002,0.10754694183240421
0.278118755266822,0.10800000000000001,0.14615674202592974
0.1541608267367263,0.11800000000000002,0.10466573227787623
0.23753707153034634,0.09000000000000001,0.15177368146651843
0.0893375809641041,0.11600000000000002,0.11584165866892338
0.14337410067237844,0.092,0.08263694556707316
0.15960964530790767,0.092,0.12174650966228007
0.24159933213357285,0.11400000000000002,0.1275195772479437
0.35285116727596816,0.094,0.16861609828408067
0.2635705673417048,0.10600000000000002,0.1421751200520294
0.2300652864513839,0.11200000000000003,0.1261112766496907
0.20262460948156308,0.11400000000000003,0.17046267425430084
0.13052284176157333,0.10200000000000002,0.1159637064614907
0.1702044935443772,0.10600000000000002,0.13712166073150578
0.16348157253835618,0.10600000000000002,0.13677189225023928
0.2520049713652271,0.11200000000000002,0.16593743533076505
0.2875914737300731,0.10000000000000002,0.19981196769764872
0.25360274779650616,0.082,0.12897783450909148
0.1470611723745613,0.10600000000000001,0.14183496670550041
0.15957860493171716,0.11000000000000001,0.1466417034999978
0.34140321674197616,0.08400000000000002,0.21198351782962138
