QoE,EE,Rewards
0.4200605405144127,0.04,0.11124544143621591
0.30333333333333334,0.048,0.11430000000000003
0.30333333333333334,0.04,0.13430000000000003
0.37641471522061787,0.042,0.1349162763774569
0.30333333333333334,0.046,0.12530000000000002
0.2275,0.04000000000000001,0.15630000000000002
0.15663756469311718,0.05600000000000001,0.10373201035089877
0.275,0.044000000000000004,0.1401666666666667
0.5131885548856497,0.046000000000000006,0.18010018650588933
0.2694642467488554,0.05,0.14192004453176654
0.25,0.054000000000000006,0.1376666666666667
0.1951269408331628,0.046000000000000006,0.16848673456910682
0.19963078234655862,0.056000000000000015,0.1280661515096712
0.2821889898518239,0.052000000000000005,0.1609192767525837
0.4525,0.062,0.18723240000000005
0.3998395322106313,0.06000000000000001,0.1770139376280842
0.2970104495185723,0.064,0.14943757439661515
0.275,0.06400000000000002,0.21893342241479852
0.47750000000000004,0.06000000000000001,0.21630000000000002
0.47750000000000004,0.05,0.2842080695664245
0.43000000000000005,0.064,0.22021200000000002
0.2275,0.052000000000000025,0.15370620925202555
0.11381890771817574,0.05600000000000001,0.13580542421221412
0.43000000000000005,0.05000000000000001,0.24712400000000007
0.275,0.05800000000000001,0.16450000000000004
0.2275,0.06400000000000002,0.16187271942475462
0.2712556616494852,0.052000000000000005,0.15213408821993138
0.2450022646597941,0.054000000000000006,0.16656019867369237
0.2900113232989705,0.05,0.16144707661467544
0.28822932329897044,0.06000000000000001,0.12477767908274755
0.2025,0.042,0.10231932794784797
0.055910012107675586,0.06799999999999999,0.0929536559912422
0.3415296934182862,0.05000000000000001,0.1379464413437137
0.11182002421535117,0.05600000000000001,0.1039909019198042
0.24316182698740044,0.054000000000000006,0.10161697987158576
0.162,0.054000000000000006,0.1356933794959561
0.12878667843990016,0.044,0.03575733568798002
0.20505901777717156,0.06000000000000001,0.07654907140724575
0.26330355532636823,0.06600000000000002,0.15920835830745028
0.3471652461428104,0.078,0.14965500682114746
0.6215916177004357,0.07800000000000001,0.16774767435731835
0.23637324614281044,0.08800000000000001,0.16837628708712304
0.38527352696952655,0.06999999999999999,0.18027001893448738
0.4133053744366265,0.07600000000000003,0.1825058994492393
0.029189283851455132,0.06600000000000002,0.08834729302400224
0.26494269640615015,0.064,0.12693188332176084
0.06000000000000001,0.078,0.06150000000000001
0.08960557790314619,0.07400000000000001,0.1395166152545539
0.0,0.06800000000000002,0.0832151238155828
0.12311022307975414,0.072,0.1366925297894263
0.09036133336362823,0.06000000000000001,0.13849787992450605
0.12311022307975414,0.062,0.0990093715755769
0.15021862308884262,0.066,0.11168906351645877
0.12311022307975414,0.074,0.11187020104981912
0.238571926822168,0.08000000000000002,0.15996373326926933
0.03765055556817843,0.08000000000000002,0.09328625197988825
0.33499999999999996,0.082,0.16443159024494336
0.14434144608503624,0.06400000000000002,0.07222433724895994
0.08485059455498445,0.08400000000000003,0.10117661961343757
0.32069014822760983,0.05800000000000001,0.20726437203901735
